Date,Open,High,Low,Close
05-Nov-2018,10558.75,10558.80,10477.00,10524.00
06-Nov-2018,10552.00,10600.25,10491.45,10530.00
07-Nov-2018,10614.45,10616.45,10582.30,10598.40
09-Nov-2018,10614.70,10619.55,10544.85,10585.20
12-Nov-2018,10607.80,10645.50,10464.05,10482.20
13-Nov-2018,10451.90,10596.25,10440.55,10582.50
14-Nov-2018,10634.90,10651.60,10532.70,10576.30
15-Nov-2018,10580.60,10646.50,10557.50,10616.70
16-Nov-2018,10644.00,10695.15,10631.15,10682.20
19-Nov-2018,10731.25,10774.70,10688.80,10763.40
20-Nov-2018,10740.10,10740.85,10640.85,10656.20
21-Nov-2018,10670.95,10671.30,10562.35,10600.05
22-Nov-2018,10612.65,10646.25,10512.00,10526.75
26-Nov-2018,10568.30,10637.80,10489.75,10628.60
27-Nov-2018,10621.45,10695.15,10596.35,10685.60
28-Nov-2018,10708.75,10757.80,10699.85,10728.85
29-Nov-2018,10808.70,10883.05,10782.35,10858.70
30-Nov-2018,10892.10,10922.45,10835.10,10876.75
03-Dec-2018,10930.70,10941.20,10845.35,10883.75
04-Dec-2018,10877.10,10890.95,10833.35,10869.50
05-Dec-2018,10820.45,10821.05,10747.95,10782.90
06-Dec-2018,10718.15,10722.65,10588.25,10601.15
07-Dec-2018,10644.80,10704.55,10599.35,10693.70
10-Dec-2018,10508.70,10558.85,10474.95,10488.45
11-Dec-2018,10350.05,10567.15,10333.85,10549.15
12-Dec-2018,10591.00,10752.20,10560.80,10737.60
13-Dec-2018,10810.75,10838.60,10749.50,10791.55
14-Dec-2018,10784.50,10815.75,10752.10,10805.45
17-Dec-2018,10853.20,10900.35,10844.85,10888.35
18-Dec-2018,10850.90,10915.40,10819.10,10908.70
19-Dec-2018,10930.55,10985.15,10928.00,10967.30
20-Dec-2018,10885.20,10962.55,10880.05,10951.70
21-Dec-2018,10944.25,10963.65,10738.65,10754.00
24-Dec-2018,10780.90,10782.30,10649.25,10663.50
26-Dec-2018,10635.45,10747.50,10534.55,10729.85
27-Dec-2018,10817.90,10834.20,10764.45,10779.80
28-Dec-2018,10820.95,10893.60,10817.15,10859.90
31-Dec-2018,10913.20,10923.55,10853.20,10862.55
01-Jan-2019,10881.70,10923.60,10807.10,10910.10
02-Jan-2019,10868.85,10895.35,10735.05,10792.50
03-Jan-2019,10796.80,10814.05,10661.25,10672.25
04-Jan-2019,10699.70,10741.05,10628.65,10727.35
07-Jan-2019,10804.85,10835.95,10750.15,10771.80
08-Jan-2019,10786.25,10818.45,10733.25,10802.15
09-Jan-2019,10862.40,10870.40,10749.40,10855.15
10-Jan-2019,10859.35,10859.35,10801.80,10821.60
11-Jan-2019,10834.75,10850.15,10739.40,10794.95
14-Jan-2019,10807.00,10808.00,10692.35,10737.60
15-Jan-2019,10777.55,10896.95,10777.55,10886.80
16-Jan-2019,10899.65,10928.15,10876.90,10890.30
17-Jan-2019,10920.85,10930.65,10844.65,10905.20
18-Jan-2019,10914.85,10928.20,10852.20,10906.95
21-Jan-2019,10919.35,10987.45,10885.75,10961.85
22-Jan-2019,10949.80,10949.80,10864.15,10922.75
23-Jan-2019,10931.05,10944.80,10811.95,10831.50
24-Jan-2019,10844.05,10866.60,10798.65,10849.80
25-Jan-2019,10859.75,10931.70,10756.45,10780.55
28-Jan-2019,10792.45,10804.45,10630.95,10661.55
29-Jan-2019,10653.70,10690.35,10583.65,10652.20
30-Jan-2019,10702.25,10710.20,10612.85,10651.80
31-Jan-2019,10690.55,10838.05,10678.55,10830.95
01-Feb-2019,10851.35,10983.45,10813.45,10893.65
04-Feb-2019,10876.75,10927.90,10814.15,10912.25
05-Feb-2019,10908.65,10956.70,10886.70,10934.35
06-Feb-2019,10965.10,11072.60,10962.70,11062.45
07-Feb-2019,11070.45,11118.10,11043.60,11069.40
08-Feb-2019,11023.50,11041.20,10925.45,10943.60
11-Feb-2019,10930.90,10930.90,10857.10,10888.80
12-Feb-2019,10879.70,10910.90,10823.80,10831.40
13-Feb-2019,10870.55,10891.65,10772.10,10793.65
14-Feb-2019,10786.10,10792.70,10718.75,10746.05
15-Feb-2019,10780.25,10785.75,10620.40,10724.40
18-Feb-2019,10738.65,10759.90,10628.40,10640.95
19-Feb-2019,10636.70,10722.85,10585.65,10604.35
20-Feb-2019,10655.45,10752.70,10646.40,10735.45
21-Feb-2019,10744.10,10808.85,10721.50,10789.85
22-Feb-2019,10782.70,10801.55,10758.40,10791.65
25-Feb-2019,10813.25,10887.10,10788.05,10880.10
26-Feb-2019,10775.30,10888.75,10729.30,10835.30
27-Feb-2019,10881.20,10939.70,10751.20,10806.65
